author,updated_at,like_count,text,video_id,public,language,translated_text,is_relevant,char_count,word_count,sentence_count,TweetNLP,RoBERTa,BERT_NLP,Emotion,Vader
@destyrian,2021-08-20T17:50:51Z,2,"Wait a minute, regarding your comments about the mass of the planet - I think in the movie it's established that Miller's planet is slightly more massive than Earth and that it's because they are deep within the gravity well of Gargantua, which is the cause of the time dilation. Isn't that correct? They are not limited by Miller's mass or, more specifically, effect on space time, as Gargantua's effect on space time is far more dominant. They don't explicitly state Gargantua's mass if I remember correctly, so it can have whatever effect on time dilation as they want. I think it holds up.",JqKa6qyVYgg,True,en,"Wait a minute, regarding your comments about the mass of the planet - I think in the movie it is established that Miller's planet is slightly more massive than Earth and that it is because they are deep within the gravity well of Gargantua, which is the cause of the time dilation. is not that correct? They are not limited by Miller's mass or, more specifically, effect on space time, as Gargantua's effect on space time is far more dominant. They do not explicitly state Gargantua's mass if I rthemthember correctly, so it can have whatever effect on time dilation as they want. I think it holds up.",True,601,108,5,0,0,0,anticipation,1
@ntokozohadebe,2022-02-13T12:42:19Z,1,Difficult movie to watch …emotionally,JqKa6qyVYgg,True,en,Difficult movie to watch …themotionally,True,39,5,0,0,-1,-1,fear,-1
@AngelCepeda-xi2lv,2025-07-24T05:29:11Z,0,But what about the wormhole closes or disappears before humanity can go through it 🤔,5I8YSiSp8rc,True,en,But what about the wormhole closes or disappears before humanity can go through it 🤔,True,84,15,0,0,0,0,anticipation,-1
@kustomkure,2014-11-17T06:20:52Z,0,Actually everything you said I understood. But I still kind of didn't get it at all. Ever since Dark Knight Rises Nolan developed a weird troubling habit of not explaining shit in his movies. It makes the whole movie fall apart.,qhW1HfSuPVQ,True,en,Actually everything you said I understood. But I still kind of did not get it at all. Ever since Dark Knight Rises Nolan developed a weird troubling habit of not explaining shit in his movies. It makes the whole movie fall apart.,True,229,42,4,0,-1,-1,disgust,-1
@benbleed,2018-11-08T12:21:04Z,1,"""At her urging, he decides to take a shit..."" That puzzled the hell out of me for a moment there.",NXhdt1R6TYE,True,en,"""At her urging, he decides to take a shit..."" That puzzled the hell out of me for a moment there.",True,97,20,2,0,-1,-1,disgust,-1
@FRENETIC11,2024-12-04T17:05:14Z,0,"Neil has a rep of interrupting people, but I think he knows when to listen if he thinks the person he is talking to can contribute or actually teach him something, those who deserve the attention.",4f9V-8BHONo,True,en,"Neil has a to represent of interrupting people, but I think he knows when to listen if he thinks the person he is talking to can contribute or actually teach him something, those who deserve the attention.",True,205,37,1,0,0,0,anticipation,-1
@OldManRocketLeague,2020-04-03T09:35:49Z,0,I don't understand the paradox. The future humans got to where they are on their own. Why would they have to meddle with dimensions if they were already there? Doesn't make sense.,j3DuONZb3Ik,True,en,I do not understand the paradox. The future humans got to where they are on their own. Why would they have to meddle with dimensions if they were already there? does not make sense.,True,181,34,4,0,-1,-1,disgust,1
@davidsmith-vq2fh,2019-02-14T21:21:49Z,0,"This is some mind blowing shit,I watched the black hole scene and I just couldn't take my eyes off my t v ,it just terrifying and so beautiful, what great movie scene, but this what really want to know were the brothers at in this movie ( no samuel Jackson).",NXhdt1R6TYE,True,en,"This is some mind blowing shit,I watched the black hole scene and I just could not take my eyes off my t v ,it just terrifying and so beautiful, what great movie scene, but this what really want to know were the brothers at in this movie ( no samuel Jackson).",True,259,51,1,0,1,1,fear,1
@JERTYzZ,2023-04-19T01:24:46Z,0,interstellar is just goat…,ASkz5prADQA,True,de,Interstellar is just the GOAT…,True,30,5,0,1,-1,1,joy,0
@christopherevansanders3629,2022-05-26T09:51:19Z,1,Time doesn't slow down time as a measurement is constant what is affected is the matter that your device your using to tell time is slowed not time,JqKa6qyVYgg,True,en,Time does not slow down time as a measurthement is constant what is affected is the matter that your device your using to tell time is slowed not time,True,150,29,0,0,0,0,disgust,-1
@arjunts4961,2022-10-14T07:00:13Z,1,Enthonadei ith 🥲,VSuF_hK3qMI,True,st,What is this 🥲,True,14,4,0,0,1,1,sadness,0
@tomwilliams589,2014-11-16T11:08:11Z,0,why was there dust in the first place,qhW1HfSuPVQ,True,en,why was there dust in the first place,True,37,8,0,0,-1,-1,disgust,0
@nicholasonciul5770,2019-01-15T04:47:07Z,0,Unpopular Opinion: this is by far my least favourite Nolan film. It’s still good. Probably 3 1/2 out of 5. But i have a lot of problems with the third act and I think it’s overly long.,BHsFzDON6pA,True,en,Unpopular Opinion: this is by far my least favourite Nolan film. It’s still good. Probably 3 1/2 out of 5. But i have a lot of problthems with the third act and I think it’s overly long.,True,186,37,4,0,-1,0,joy,1
@YourMom-yg1yw,2020-10-07T01:16:02Z,0,"How does this not create a time loop, going back and interacting with the past just so that past can do the same?",j3DuONZb3Ik,True,en,"How does this not create a time loop, going back and interacting with the past just so that past can do the same?",True,113,23,1,0,0,-1,disgust,-1
@aftrdvsk,2023-07-20T18:02:02Z,2,"""There is A Moment"" - Famous last words by Mann Damon",zBNKrja8dyY,True,en,"""There is A Moment"" - Famous last words by Mann Damon",True,53,11,0,1,0,1,optimism,0
@leyaalbin9433,2022-10-25T15:46:37Z,22,"In my vision it's not one of the best,it's the one best movie experience in my life.interstellar🖤",VSuF_hK3qMI,True,en,"In my vision it is not one of the best,it is the one best movie experience in my life.interstellar🖤",True,99,19,1,1,1,1,joy,1
@Wampyjedi,2020-03-29T07:37:47Z,0,I freakin love this movie,j3DuONZb3Ik,True,en,I freakin love this movie,True,25,5,0,1,1,1,joy,1
@Aryan-rx9rl,2021-08-13T17:30:43Z,2,bro i was watching this video and thought you had millions of subs considering the video quality. But I'm surprised you only have 1.6 k. Just keep making high quality content like this and you'll certainly gain subs!,JqKa6qyVYgg,True,en,brother i was watching this video and thought you had millions of subs considering the video quality. But I am surprised you only have 1.6 ok. Just keep making high quality content like this and you will certainly gain subs!,True,224,40,4,1,1,1,joy,1
@wildasm16,2021-04-12T15:49:13Z,2,എനിക്കൊരു സംശയം നമ്മളെ time സ്പീഡിൽ പോന്നത് പോലെ തോന്നുന്നു,dMl_GhbcP0c,True,et,"I have a doubt, does not it feel like we traveled at time speed?",True,64,14,1,0,0,0,anticipation,-1
@theCommentortator,2024-01-13T15:58:26Z,0,This guy doesnt even know how many genders there are. Ill give you a hint there are 2,R1cexcjdyIE,True,en,This guy doesnt even know how many genders there are. Ill give you a hint there are 2,True,85,18,1,0,-1,-1,anger,-1
@Zglavo,2026-01-29T16:13:19Z,8,"My daughter was the age of Murf when I first saw this movie, she has always been the best in her class in mathematics and science, as Murf, and I love her more than anything, together with my son of course. When I see this movie, I'm Cooper, as a father and an engineer. No other movie had such an effect on me!",D09sle7hgWw,True,en,"My daughter was the age of Murf when I first saw this movie, she has always been the best in her class in maththematics and science, as Murf, and I love her more than anything, together with my son of course. When I see this movie, I am Cooper, as a father and an engineer. No other movie had such an effect on me!",True,314,64,3,1,1,1,joy,1
@kronickintrovert,2024-09-09T15:32:41Z,0,i think this was the best movie i ever saw...kinda wish i waited another 34 yrs to watch it..,BHsFzDON6pA,True,en,i think this was the best movie i ever saw...kind of wish i waited another 34 years to watch it..,True,97,20,2,1,1,1,joy,1
@stevengilstrap89sg,2026-03-05T12:01:58Z,0,Post Hoc rationalization,9YBpOBIsZoc,True,la,Post Hoc rationalization,True,24,3,0,0,0,0,anger,0
@exildur,2017-04-27T13:03:13Z,305,"This has to be the best analysis of this film I will ever see. You have earned this subscription, LSOO. Please continue to bring us such wonderful videos.",t6kqaip7WS4,True,en,"This has to be the best analysis of this film I will ever see. You have earned this subscription, LSOO. Please continue to bring us such wonderful videos.",True,154,28,3,1,1,1,joy,1
@JamieTheGamer,2014-11-09T07:58:35Z,0,A few things I was confused about: Why was Matt Damon super motivated to kill everyone? Why was Matthew able to hear that guys voice in the 5th dimension thing towards the end?,qhW1HfSuPVQ,True,en,A few things I was confused about: Why was Matt Damon super motivated to kill everyone? Why was Matthew able to hear that guys voice in the 5th dimension thing towards the end?,True,176,33,2,0,-1,0,disgust,-1
@colbancassian127,2020-09-01T11:39:39Z,0,Movie was good up until the point of the love argument. The ending was lazy as well and everyone orgasms collectively about a god-damned paradox.,j3DuONZb3Ik,True,en,Movie was good up until the point of the love argument. The ending was lazy as well and everyone orgasms collectively about a god-damned paradox.,True,145,25,2,0,0,-1,joy,1
@syahrul.66,2022-12-12T14:13:41Z,0,top 3 movies of all time for me & top 3 score of all time,zBNKrja8dyY,True,en,top 3 movies of all time for me & top 3 score of all time,True,57,15,0,1,1,1,joy,1
@sreejithsreejithp7686,2021-03-25T21:11:24Z,0,👍👍👍👍supper bro,VSuF_hK3qMI,True,da,"👍👍👍👍 Super, brother!",True,20,3,1,1,1,1,joy,1
@Bleed1ingEdge,2024-07-21T16:36:31Z,0,This film is not long at all,Et9cKWWZ0LM,True,en,This film is not long at all,True,28,7,0,0,-1,-1,disgust,0
@Indi_On_A_Jones,2020-01-17T05:56:14Z,0,That was fucking beautiful. Like I cried kind of beautiful.,t6kqaip7WS4,True,en,That was fucking beautiful. Like I cried kind of beautiful.,True,59,10,2,1,1,0,joy,1
@kamalanellaiappan2773,2019-12-28T05:27:44Z,1,Best video 👌of Mr. Gk,4-6zBotsi-s,True,nb,Best video 👌 of Mr. Gk.,True,23,6,2,1,1,1,joy,1
@ButHerMama,2022-05-28T02:32:13Z,0,This guy is a phony,R1cexcjdyIE,True,xh,This guy is a phony,True,19,5,0,0,-1,-1,anger,0
@RH-bd5qe,2026-05-08T01:18:18Z,1,Eeaaauuuggghhhhh!!,4f9V-8BHONo,True,en,Eeaaauuuggghhhhh!!,True,18,1,1,1,1,-1,joy,0
@santbaksh.kundal_NDA,2025-08-16T03:02:20Z,0,Explanation 🗿 Understanding 🤡,NC78S8jNy4g,True,en,Explanation 🗿 Understanding 🤡,True,29,4,0,0,0,1,optimism,0
@alldy7836,2020-04-19T07:32:56Z,0,It sounds awesome but I'm too stupid for this.. gues I gotta watch it again for the 13th times now,j3DuONZb3Ik,True,en,It sounds awesome but I am too stupid for this.. gues I got to watch it again for the 13th times now,True,100,22,1,1,-1,-1,joy,-1
@Eion4089,2022-01-20T22:51:07Z,2,More than 30 time,VSuF_hK3qMI,True,en,More than 30 time,True,17,4,0,0,0,1,anticipation,0
@poopguyfoodplace,2021-02-18T22:19:30Z,0,"I don’t understand how this movie is confusing at all, if you pay attention it is all laid out in front of you.",j3DuONZb3Ik,True,en,"I denial of normal’t understand how this movie is confusing at all, if you pay attention it is all laid out in front of you.",True,124,25,1,0,-1,-1,disgust,-1
@docsavage6577,2021-08-22T06:29:23Z,0,I think time dilation is a mass hallucination that has never been proven to exist.,JqKa6qyVYgg,True,en,I think time dilation is a mass hallucination that has never been proven to exist.,True,82,15,1,0,-1,-1,anticipation,0
@joeredfield979,2019-11-04T23:34:04Z,0,great video sir. Makes you appreciate what good cinema can do.,t6kqaip7WS4,True,en,great video sir. Makes you appreciate what good cinthema can do.,True,64,11,2,1,1,1,joy,1
@ninelaaa,2024-08-30T12:18:41Z,0,One of the worst sci fi ive watched..everything is copied music script ...the dialigues in first hour are cringy,Et9cKWWZ0LM,True,en,One of the worst sci fi i have watched..everything is copied music script ...the dialigues in first hour are cringy,True,115,20,2,0,-1,-1,anger,-1
@Thanithuvamanavan,2019-12-28T14:37:13Z,1,Interstellar பற்றி இப்படி ஒரு விளக்கம் இதுவரை யாரும் கூறியதாக தெரியவில்லை...,4-6zBotsi-s,True,ta,I have not heard anyone explain Interstellar like this so far...,True,64,11,1,0,-1,1,anticipation,1
@bmcerlean42,2021-09-21T19:15:00Z,0,Surprised he didn't ask about his son.,j3DuONZb3Ik,True,en,Surprised he did not ask about his son.,True,39,8,1,0,0,0,surprise,1
@stateofdisorder1,2018-07-26T12:39:18Z,0,Thank you for this. Once he entered the worm hole I was lost as hell,NXhdt1R6TYE,True,en,Thank you for this. Once he entered the worm hole I was lost as hell,True,68,15,1,0,0,1,joy,-1
@devanshusharma7118,2020-03-11T08:47:49Z,0,"Interwoven with emotions and mindfucking science, this movie never cease to amaze me.",j3DuONZb3Ik,True,en,"Interwoven with themotions and mindfucking science, this movie never cease to amaze me.",True,87,13,1,1,1,1,joy,-1
@blakejones5903,2025-12-31T03:15:05Z,123,This movie changed me as a person. I can remember watching it on my own 4 nights in a row when it first came out. At the time I was single and was so taken back at the power of love between a parent and child. Something I hadn’t experienced myself as a child. Recently I watched again now being a father of 2 this movie strikes a deeper cord in me. The fight of doing what you can for your children’s future at the cost of everything you hold so dear as a parent. I am so thankful for this movie and especially the end send where he knew! she wouldn’t forget the watch….How do you know? “Because I gave it to her”,iWrFVvEgFYI,True,en,This movie changed me as a person. I can rthemthember watching it on my own 4 nights in a row when it first came out. At the time I was single and was so taken back at the power of love between a parent and child. Something I hadn’t experienced myself as a child. Recently I watched again now being a father of 2 this movie strikes a deeper cord in me. The fight of doing what you can for your children’s future at the cost of everything you hold so dear as a parent. I am so thankful for this movie and especially the end send where he knew! she wouldn’t forget the watch….How do you know? “Because I gave it to her”,True,617,124,9,1,1,1,joy,1
@imtherealbob,2021-12-05T05:29:17Z,1,I’m Commander Shepard and this is my favorite channel on YouTube.,JqKa6qyVYgg,True,en,I’am Commander Shepard and this is my favorite channel on YouTube.,True,66,11,1,1,1,1,joy,1
@D_Rock2023,2025-02-19T19:13:41Z,0,never cease to amaze. Bravo.,ASkz5prADQA,True,en,never cease to amaze. Bravo.,True,28,5,2,1,1,1,joy,-1
@schetan006,2021-11-01T14:59:44Z,0,well done neil👍🏻 your explaination makes my head goes into tesseract like butter on hot pan.,R1cexcjdyIE,True,en,well done neil👍🏻 your explaination makes my head goes into tesseract like butter on hot pan.,True,92,16,1,1,1,1,joy,1
@clausvonstauffenberg1430,2021-04-01T08:59:24Z,2,Bro bakki vennam please,dMl_GhbcP0c,True,lg,"brother, I need the rest please.",True,32,6,1,0,0,0,sadness,1
@tomrohan8480,2024-06-23T09:13:47Z,5,Woww mention of a Indian Airforce surveillance drone from Delhi mission control in a Hollywood block buster.. Indians be proud❤ Jaihind 🇮🇳,QBSw8nSVpmI,True,en,Woww mention of a Indian Airforce surveillance drone from Delhi mission control in a Hollywood block buster.. Indians be proud❤ Jaihind 🇮🇳,True,138,22,1,1,1,-1,joy,1
@nyxqu6650,2022-01-14T15:53:54Z,1,havent finished the video but it wont work cause being in a gravitiational field like this would rip you apart. Planet in this distance to a black hole also not possible i think. And the planet is to slow to get a time dilation. I always hated this scene about the movie.Also that the astronaut who is in the same gravitational field has aged. Just a theory of mine and what i have understood about relativity.,JqKa6qyVYgg,True,en,havent finished the video but it wont work cause being in a gravitiational field like this would rip you apart. Planet in this distance to a black hole also not possible i think. And the planet is to slow to get a time dilation. I always hated this scene about the movie.Also that the astronaut who is in the same gravitational field has aged. Just a theory of mine and what i have understood about relativity.,True,410,76,6,0,-1,-1,anger,-1
@peacewarlord,2014-11-06T23:49:07Z,0,"I'm not Nolan fanboy, I don't have favorite director... but this movie... oh, it was marvelous! I knew it was going to be a huge and hyped movie because of Nolan past success, and I was expected a lot... got much more than that. This movie is by far best experience I have experienced in my life. Almost 3 hours long but didn't bore me for a second, I feel connected to main characters... damn even for that robot. The movie surprised me with few sudden turnaround that left me shocked and amazed in the same time. The soundtrack... that was just, oh... connected the movie and me on that emotional level, just perfect! To be honest this movie has a few flaws, but at the end those good things in the movie was soooooo good that I forgot about those little flaws...damn, I broke at the end of the movie and start crying in full theater, part because of that character connection, and part because I was amazed by the movie! The overall experience is something I cannot describe, I just know this is 3 hours I will never forget for the rest of my life.",BHsFzDON6pA,True,en,"I am not Nolan fanboy, I do not have favorite director... but this movie... oh, it was marvelous! I knew it was going to be a huge and hyped movie because of Nolan past success, and I was expected a lot... got much more than that. This movie is by far best experience I have experienced in my life. Almost 3 hours long but did not bore me for a second, I feel connected to main characters... damn even for that robot. The movie surprised me with few sudden turnaround that left me shocked and amazed in the same time. The soundtrack... that was just, oh... connected the movie and me on that themotional level, just perfect! To be honest this movie has a few flaws, but at the end those good things in the movie was soooooo good that I forgot about those little flaws...damn, I broke at the end of the movie and start crying in full theater, part because of that character connection, and part because I was amazed by the movie! The overall experience is something I cannot describe, I just know this is 3 hours I will never forget for the rest of my life.",True,1056,200,15,1,1,1,joy,1
@ss_avsmt,2022-01-25T08:26:35Z,1,All you said was that time passed differently in Interstellar was becasue of time dilation because of gravity and special relativity. This isn't what the title of the video says. I thought you would at least explain how the black hole influenced that (apart from the fact that it was massive); that how massive objects affect clocks; that how much orbital velocity the miller's planet would have to have to produce such significant factors of time dilation.,JqKa6qyVYgg,True,en,All you said was that time passed differently in Interstellar was becasue of time dilation because of gravity and special relativity. This is not what the title of the video says. I thought you would at least explain how the black hole influenced that (apart from the fact that it was massive); that how massive objects affect clocks; that how much orbital velocity the miller's planet would have to have to produce such significant factors of time dilation.,True,458,78,3,0,0,-1,anticipation,1
@manvites,2024-09-30T13:06:09Z,0,Bold assumption there. Never seen it,JZ9qjB2PVuE,True,en,Bold assumption there. Never seen it,True,36,6,1,0,-1,1,anticipation,1
@writerseye,2024-12-08T20:47:33Z,0,"As scientific as we want it to look, it is still 99.9% speculative. But we do have the best imaginations in this galactic sector... so there's that.",4f9V-8BHONo,True,en,"As scientific as we want it to look, it is still 99.9% speculative. But we do have the best imaginations in this galactic sector... so there is that.",True,149,28,4,0,1,0,optimism,1
@aminebentiss9269,2021-10-11T09:17:41Z,0,"""no emotional push"" ?? ok... , pls push dislike button",BHsFzDON6pA,True,en,"""no themotional push"" ?? okay... , please push dislike button",True,61,10,2,0,-1,-1,anger,1
@phadrus,2023-07-26T13:43:00Z,0,So it’s mediocre. Imagine how many houseless people could be fed instead of making a movie like this that no one needs.,XiDFc5aIqFg,True,en,So it’s mediocre. Imagine how many houseless people could be fed instead of making a movie like this that no one needs.,True,119,22,2,0,-1,-1,anger,1
@gentle_singularity,2021-12-08T01:33:12Z,0,"So as we get older (and taller), time moves more quickly for us because we are further away from the earth's surface? Lol I'm just kidding but seriously, this is a really good video explaining time dilation.",JqKa6qyVYgg,True,en,"So as we get older (and taller), time moves more quickly for us because we are further away from the earth's surface? laughing out loud I am just kidding but seriously, this is a really good video explaining time dilation.",True,222,40,2,1,1,1,joy,1
@maya07990,2022-01-31T15:51:24Z,3,Great bro...!!❤️You need a great appreciation for making this kind of fantastic vedios🔥I appreciate your efforts behind these kind of Vedios... 🤝🔥,dMl_GhbcP0c,True,en,Great brother...!!❤️You need a great appreciation for making this kind of fantastic vedios🔥I appreciate your efforts behind these kind of Vedios... 🤝🔥,True,150,22,2,1,1,1,joy,1
@FrozenSnowman27836,2025-06-06T19:38:27Z,0,I might be dumb here but I felt that humans somehow built a device similar to Contact but instead of a Decahedron sphere it's an Einstein-Rosen Bridge leading into a 5 Dimensional Tesseract,ASkz5prADQA,True,en,I might be dumb here but I felt that humans somehow built a device similar to Contact but instead of a Decahedron sphere it is an Einstein-Rosen Bridge leading into a 5 Dimensional Tesseract,True,190,34,0,0,0,0,anticipation,-1
@akashkumaran5956,2019-06-18T14:37:44Z,0,Nolan movies download cheyyan pattiye site name parayamo?,qOngRXgUTN4,True,tr,Can you name a site to download Nolan movies?,True,45,9,1,0,0,-1,anticipation,0
@josephlathrop1914,2022-12-26T23:57:16Z,0,you Missed that Murphy's Law DOESN'T Meen What can go Wrong Will go wrong it means What can happen Will Happen,zBNKrja8dyY,True,en,you Missed that Murphy's Law does not Meen What can go Wrong Will go wrong it means What can happen Will Happen,True,111,22,0,0,-1,-1,anticipation,-1
@HighFlyingEYE,2023-04-07T20:29:17Z,0,interstellar is one of the great movies ever made FACT!!!,ASkz5prADQA,True,en,interstellar is one of the great movies ever made FACT!!!,True,57,10,1,1,1,1,joy,1
@jlo1195,2022-04-15T07:56:41Z,1,Time effects differently when you're not on planet Earth....the atmospherics pressure and the motions the Earth movies...all affects how time is measured thru our prospective,JqKa6qyVYgg,True,en,Time effects differently when you are not on planet Earth....the atmospherics pressure and the motions the Earth movies...all affects how time is measured through our prospective,True,178,26,2,0,0,1,anticipation,-1
@selfhosted_sg,2025-02-16T10:28:50Z,1,I am buying that book now,4f9V-8BHONo,True,en,I am buying that book now,True,25,6,0,1,1,1,joy,0
